Time_ms,Time_sec,Xa,Ya,Za
11587,11.59,0.53,-0.23,1.06
11639,11.64,-0.52,-0.21,0.45
11694,11.69,0.49,-0.21,1.07
11747,11.75,-0.51,-0.24,0.46
11801,11.8,0.56,-0.22,1.09
11854,11.85,-0.53,-0.15,0.38
11908,11.91,-0.34,-0.01,0.53
11962,11.96,0.28,-0.69,0.9
12015,12.02,-0.12,-0.09,1.02
12069,12.07,-0.33,-0.64,0.6
12124,12.12,0.29,-0.11,1.18
12176,12.18,-0.56,-0.16,0.44
12230,12.23,0.32,-0.68,0.98
12283,12.28,0.05,-0.09,1.23
12337,12.34,-0.55,-0.36,0.48
12391,12.39,-0.42,0.04,0.54
12443,12.44,-0.36,-0.66,0.52
12497,12.5,0.46,-0.23,1.2
12551,12.55,-0.21,-0.04,0.66
12605,12.61,-0.59,-0.5,0.41
12659,12.66,0.64,-0.45,1.16
12711,12.71,0.09,-0.07,1.22
12765,12.77,-0.62,-0.16,0.39
12819,12.82,-0.21,-0.82,0.61
12873,12.87,-0.72,-0.05,0.37
12928,12.93,-0.31,-0.71,0.49
12981,12.98,0.52,-0.46,1.18
13034,13.03,0.33,-0.02,1.29
13087,13.09,-0.41,0.02,0.53
13140,13.14,-0.68,-0.36,0.34
13195,13.2,-0.14,-0.86,0.69
13248,13.25,0.56,-0.37,1.17
13301,13.3,-0.64,-0.41,0.32
13356,13.36,-0.11,-0.93,0.65
13410,13.41,0.45,-0.56,1.15
13463,13.46,0.58,-0.03,1.36
13516,13.52,0.09,-0.01,1.04
13569,13.57,-0.46,0.07,0.59
13622,13.62,-0.75,-0.25,0.39
13676,13.68,-0.55,-0.52,0.4
13730,13.73,-0.2,-0.9,0.69
13785,13.79,-0.02,0.07,0.86
13837,13.84,-0.63,0,0.57
13890,13.89,-0.76,-0.19,0.41
13944,13.94,-0.61,-0.46,0.39
13999,14,-0.47,-0.72,0.44
14053,14.05,0.02,-0.83,0.71
14105,14.11,0.09,-0.84,0.94
14158,14.16,0,-0.8,0.93
14212,14.21,0.31,-0.58,1.02
14265,14.27,0.24,-0.43,1.06
14318,14.32,0.17,-0.43,1.02
14370,14.37,-0.45,-0.09,0.76
14425,14.43,-0.55,-0.17,0.54
14479,14.48,-0.39,-0.13,0.55
14533,14.53,-0.45,-0.15,0.56
14587,14.59,-0.36,-0.23,0.71
14641,14.64,-0.52,-0.12,0.47
14695,14.7,-0.52,-0.16,0.62
14749,14.75,-0.06,-0.8,0.87
14803,14.8,-0.01,-0.81,0.75
14858,14.86,-0.07,-0.93,0.77
14911,14.91,-0.06,-0.83,0.61
14965,14.97,-0.27,-0.75,0.45
15020,15.02,-0.26,-0.51,0.51
15074,15.07,0.08,-0.55,1.06
15127,15.13,0.01,-0.79,0.86
15180,15.18,0,-0.79,0.73
15234,15.23,-0.13,-0.84,0.53
15288,15.29,-0.34,-0.58,0.4
15342,15.34,-0.38,-0.37,0.47
15396,15.4,-0.38,-0.11,0.69
15451,15.45,-0.13,-0.79,0.47
15504,15.5,-0.33,-0.58,0.28
15558,15.56,-0.47,-0.34,0.36
15612,15.61,-0.4,-0.01,0.73
15667,15.67,-0.25,0.11,0.95
15720,15.72,0.13,0.04,1.13
15771,15.77,0.18,-0.2,1.1
15824,15.82,0.16,-0.42,0.8
15878,15.88,0.02,-0.71,0.68
15931,15.93,-0.09,-0.64,0.41
15985,15.99,0.24,-0.41,1.05
16037,16.04,0,-0.72,0.61
16091,16.09,-0.34,-0.57,0.33
16145,16.15,-0.5,-0.1,0.54
16199,16.2,-0.12,0.18,0.92
16252,16.25,0.36,0.01,1.31
16304,16.3,0.27,-0.46,1.02
16357,16.36,-0.07,-0.79,0.59
16411,16.41,-0.5,-0.53,0.42
16465,16.47,-0.39,-0.04,0.8
16520,16.52,-0.39,-0.45,0.34
16573,16.57,-0.37,0.05,0.91
16626,16.63,0.21,0.05,1.23
16678,16.68,0.17,-0.37,0.97
16732,16.73,-0.04,-0.82,0.52
16786,16.79,-0.39,-0.36,0.43
16839,16.84,-0.24,0.09,1.11
16892,16.89,0.29,-0.16,1.24
16946,16.95,0.04,-0.59,0.76
16999,17,-0.33,-0.64,0.23
17053,17.05,-0.38,-0.07,0.75
17106,17.11,-0.42,-0.48,0.38
17161,17.16,-0.23,0.04,1.15
17214,17.21,0.29,-0.14,1.31
17267,17.27,0.05,-0.58,0.65
17320,17.32,-0.38,-0.64,0.23
17374,17.37,-0.29,0,0.98
17427,17.43,0.26,-0.16,1.45
17480,17.48,0.02,-0.57,0.63
17533,17.53,-0.34,-0.56,0.23
17588,17.59,-0.23,0.06,0.88
17640,17.64,-0.46,-0.14,0.48
17694,17.69,0.22,-0.07,1.51
17747,17.75,0.08,-0.46,0.86
17801,17.8,-0.39,-0.61,0.12
17855,17.86,-0.22,0.08,0.99
17907,17.91,0.34,-0.25,1.62
